X,Y,building,addr:street,addr:housenumber,addr:postcode,addr:city,addr:state,name,nycdoitt:bin,height,building:levels,start_date,roof:shape,building:colour,roof:material,building:material,building:part,condo,roof:colour,addr:country,number_of_apartments,addr:housename,website,addr:place,wikidata
-73.859729465887,40.7397641500488,apartments,100th Street,54-09,11368,Corona,NY,,4449601,21.9,,,,,,,,,,,,,,,
-73.8586372138282,40.7390654470159,apartments,100th Street,54-39,11368,Corona,NY,,4047631,21.8,,,,,,,,,,,,,,,
-73.6812157618622,42.7622475465823,apartments,105th Street,,,,,,,,2,,,,,,,,,,,,,,
-73.680596522772,42.7620650421967,apartments,105th Street,,,,,,,,2.5,,,,,,,,,,,,,,
-73.8265778864336,40.6837095752749,apartments,107th Avenue,115-01,11419,,,Richmond Apartments,4202755,14.0,,,,,,,,,,,,,,,
-73.9675154,41.3648091,apartments,10 Autumn Leaf Ct,,10928,Highland Falls,,Villa Park Apartments,,,,,,,,,,,,,,,,,
-73.996160449681,40.7592164602513,apartments,10th Avenue,557,10036,,,Victory Apartments,1087341,24,,2002,flat,#949786,concrete,,,,,,,,,,
-73.84849525,40.7351826,apartments,110th Street,63-10,,,,,4051548,7.7,7,,,,,,,,,,,,,,
-74.0064046309755,40.7492840376398,apartments,11th Avenue,200,10011,New York,,200 Eleventh Avenue,1087613,,,2009,,,,,,,,,,,,,
-74.003229816432,40.7527811785169,apartments,11th Avenue,312,10001,New York,,The Ohm,1088120,,,2009,,,,,,,,,,,,,
-73.9804707926792,40.664843950097,apartments,11th Street,561,11215,,,,3392328,13.4,4,,,,,,,,,,,,,,
-73.6800422,42.7353162,apartments,11th Street,94-96,12180,Troy,,,,,3,,,,,,,,,,,,,,
-73.9680837718574,41.3649545496831,apartments,13 Autumn Leaf Ct,,10928,Highland Falls,,Villa Park Apartments,,,,,,,,,,,,,,,,,
-73.982112584445,40.6631682498503,apartments,14th Street,425,11215,,,,3026501,14.0,,,,,,,,,,,,,,,
-73.7088442667889,42.726512675109,apartments,15th,,12189,City of Watervliet,ny,,,,,,,,,,,,,,,,,,
-73.7982482659579,40.7104482388127,apartments,165th Street,87-15,11432,Jamaica,NY,The Saxony,4210437,18.1,,,,,,,,,,,,,,,
-73.7969903162912,40.7109933501341,apartments,166th Street,87-05,11432,Jamaica,NY,,4210459,20.2,,,,,,,,,,,,,,,
